OBJECTID,Loc_name,Score,X,Y,Latitude,Longitude,HFID,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CD,COUNTYNAME,TELEPHONE,FAX,LIC_TYPE,CAH,DEEMED,SWING,HLTH_SYS,ADMINISTRATOR,HOSP_BEDS,BASS_BEDS,HOSP18_BEDS
824,MANUAL,,479384.6346,4977886.323,44.954293,-93.261572,242,ABBOTT NORTHWESTERN HOSPITAL,800 EAST 28TH STREET,MINNEAPOLIS,MN,55407,27,HENNEPIN,612-863-4000,612-863-5667,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,MR. TOM O'CONNOR,972,44,933
837,MANUAL,,479335.3562,4978168.441,44.956366,-93.262223,741,CHILDRENS HOSP & CLINICS MPLS,2525 CHICAGO AVENUE SOUTH,MINNEAPOLIS,MN,55404,27,HENNEPIN,612-813-6112,612-813-6807,NONPROFIT CORPORATION,,Provider Has Deemed Status,,CHILDRENS HOSP & CLINICS OF MN,DR. MARK GORELICK,279,196,279
859,MANUAL,,474187.0488,4970370.544,44.886162,-93.326991,201,FAIRVIEW SOUTHDALE HOSPITAL,6401 FRANCE AVENUE SOUTH,EDINA,MN,55435,27,HENNEPIN,952-924-5100,952-924-5382,NONPROFIT CORPORATION,,Provider Has Deemed Status,,FAIRVIEW HEALTH SERVICES,JEOFF WILL,390,45,390
869,MANUAL,,479308.6028,4979884.09,44.972708,-93.262146,211,HENNEPIN COUNTY MEDICAL CTR,701 PARK AVENUE,MINNEAPOLIS,MN,55415,27,HENNEPIN,612-873-3629,612-873-1985,COUNTY,,Provider Has Deemed Status,,INDEPENDENT,MR. ANTHONY CAMPISI,894,65,765
882,MANUAL,,462172.9858,4997835.416,45.132961,-93.481203,25593,MAPLE GROVE HOSPITAL,9875 HOSPITAL DRIVE,MAPLE GROVE,MN,55369,27,HENNEPIN,763-581-1000,763-581-1555,NONPROFIT CORPORATION,,Provider Has Deemed Status,,NORTH/FAIRVIEW HEALTH SERVICES,ANDY COCHRANE,130,50,130
900,MANUAL,,474653.6653,4984533.673,45.014753,-93.32323,240,NORTH MEMORIAL HEALTH,3300 OAKDALE AVENUE NORTH,ROBBINSDALE,MN,55422,27,HENNEPIN,763-520-5200,763-581-4665,NONPROFIT CORPORATION,,Provider Has Deemed Status,,NORTH,MR. JEFF WICKLANDER,518,42,474
907,MANUAL,,471434.2896,4975124.601,44.930196,-93.361884,230,PARK NICOLLET METHODIST HOSP,6500 EXCELSIOR BLVD PO BOX 650,ST LOUIS PARK,MN,55440,27,HENNEPIN,952-993-5000,952-993-5936,NONPROFIT CORPORATION,,Provider Has Deemed Status,,HEALTHPARTNERS,JENNIFER MYSTER,426,50,426
909,MANUAL,,479153.5341,4978540.459,44.96042,-93.26394,231,PHILLIPS EYE INSTITUTE,2215 PARK AVENUE SOUTH,MINNEAPOLIS,MN,55404,27,HENNEPIN,612-775-8751,612-775-9601,NONPROFIT CORPORATION,,Provider Has Deemed Status,,ALLINA HOSP & CLINICS,DR. DANIEL CONRAD,20,0,20
914,MANUAL,,473695.8251,4982148.763,44.992506,-93.333735,158,REGENCY HOSPITAL OF MPLS LLC,1300 HIDDEN LAKES PARKWAY,GOLDEN VALLEY,MN,55422,27,HENNEPIN,763-302-8301,763-521-3805,LIMITED LIABILITY COMPANY,,Provider Has Deemed Status,,REGENCY,SEAN STRICKER,92,0,92
934,MANUAL,,483354.8837,4978397.71,44.958994,-93.210831,256,SHRINERS HOSPITAL FOR CHILDREN,2025 EAST RIVER PARKWAY,MINNEAPOLIS,MN,55414,27,HENNEPIN,612-596-6100,612-339-9634,OTHER NONPROFIT OWNERSHIP,,Provider Has Deemed Status,,SHRINERS,MR. CHARLES LOBECK,40,0,0
950,MANUAL,,481304.4055,4979342.212,44.968003,-93.237108,200,UNIVERSITY OF MN MED CTR,2450 RIVERSIDE AVENUE,MINNEAPOLIS,MN,55454,27,HENNEPIN,612-273-6000,612-273-4051,NONPROFIT CORPORATION,,Provider Has Deemed Status,,U OF M,MS. ELIZABETH LARSEN,1700,168,1489
956,MANUAL,100,483755.3893,4972041.615,44.901776,-93.205722,0,VA MEDICAL CENTER,1 VETERANS DR,FORT SNELLING,MN,55111,27,HENNEPIN,612-725-2000,,,,,,VA HEALTH CARE SYSTEM,INFORMATION NOT FOUND,,,
957,MANUAL,,481747.7779,4979762.39,44.97131,-93.231243,,"U OF M MED CNTR, EAST BANK",500 SE HARVARD ST,MINNEAPOLIS,MN,55455,27,HENNEPIN,612-672-7000,,MS. CAROLYN WILSON,,,,,SEE HFID200 UNIVERSITY OF MN MED CTR,,,
958,MANUAL,,481287.4465,4979247.67,44.967958,-93.237023,,UM MASONIC CHILDRENS HOSPITAL,2450 RIVERSIDE AVE,MINNEAPOLIS,MN,55455,27,HENNEPIN,612-365-1000,,MS. CAROLYN WILSON,,,,,SEE HFID200 UNIVERSITY OF MN MED CTR,,,
