distrctId,edu_pop_total,edu_pop_5_17,edu_num_household_in_poverty,edu_num_classroom_teacher
d2703180,"241,661","44,163","2,840",2252.07
d2705790,"90,483","12,493","1,222",716.99
d2706240,"9,735","1,661",345,155.46
d2707200,"34,770","7,240",312,363.73
d2708190,"58,504","11,910",386,579.91
d2710170,"11,868","2,601",72,140.16
d2711250,"43,211","8,719",228,488.28
d2711370,"72,281","14,916",541,806.82
d2711670,"44,239","9,022",216,611.59
d2714220,"62,957","12,044",797,535.55
d2714260,"67,621","9,218",725,499.29
d2721240,"418,129","53,501","11,016",3019.7
d2722920,"19,520","3,210",120,145.27
d2725080,"12,965","2,795",94,188.93
d2725200,"147,658","27,347","2,332",1202.75
d2731750,"43,507","5,320",619,327.23
d2731780,"108,279","16,069","1,848",921.43
d2732070,"10,414","2,075",94,109.55
d2733420,"10,707","1,288",93,97.73
d2733780,"47,661","5,612",466,381.3
d2741060,"5,263",745,70,267.13
d2741910,"10,729","1,968",90,101
d2742160,"64,404","12,526",446,708.96
